Nonlinear Metamaterials[Ferrofluid/Titanium Chromide], 3290460, 3295500, 3295500, 2811675, 2014755, 824790, 283815, 453465, 401595, 22335, 62085, 1711140, 1716405, 2074710, 2092380, 2991090, 2992350, 2950770, 2754735, 2576295, 2577240, 2577240, 2208690, 2081940, 2008335, 2895165, 2340180, 2358555, 2354880, 2369370, 123030, 1389420, 1349520, 1331250, 543345, 1322865, 494535, 153300, -189120, -760620, -1143870, -1095990, -1080240, -711300, -417450, 383835, 2367495, 2551560, 2550615, 2392995, 2392995, 2363595, 2230875, 2419950, 2277570, 2205750, 2209425, 1610565, 4249335, 4453005, 5515995, 6067665, 6977340, 6959070, 6975870, 6979965, 6214740, 6202140
Ferrogel[Ferrofluid/Prometium], 153050, 258050, 264350, 1274345, 686135, 1357350, 1263565, 826175, 1391695, 6653035, 6863665, 3601250, 2097925, 5073540, 5046080, 4464800, -688370, -1261770, -1823415, -974805, -1005570, -1187230, -1689560, 2574210, 1409555, 1734425, -3184440, 2402755, 2420920, 1335220, 1281460, 1982130, 3008300, 2574230, 2583365, 6521475, 7973625, 8070330, 7918290, 7654380, 6470820, 4486740, 3646530, 3622170, 7316490, 8096115, 4969255, 5026690, 930345, 720385, 627725, 5586895, 5931295, 6816550, 6835870, 5116640, 7793615, 7313975, 7363115, 6510635, 3573615, 4197105, 3969360, 4534470, 4537830, 4335315, 4541190, 4041390
Hypersynaptic Fibers[Vanadium Hafnite], 2572350, 2575960, 2733600, 2761180, 2820820, 634270, 779120, 4004300, 6080700, 5937620, 8253080, 7472120, 8880720, 2082420, 2099220, 11316960, 11397320, 10061620, 7894480, 4764800, 4766060, 4473560, 3973960, 2595060, 2774260, 2360180, 1988980, 4268140, 4709880, 7814220, 7856640, 8384720, 9187300, 5744420, 5764440, 5913460, 5717940, 5718920, 2260440, 2215920, 1489070, 526150, 3315340, 7659820, 7676900, 7221720, 7453840, 7942440, 7943280, 7010830, 7010830, 6623160, 4568580, 4485520, 4257020, 4257020, 4259120, 3733090, 3662530, -100920, 147860, 262940, 369730, 1952010, 1979730, 2078990, 1640000, 21600
Phenolic Composites, 5447652, 5447652, 5447652, 5025968, 5146928, 2693860, 2938308, 1745508, 5053452, 4674312, 8149736, 9239216, 8959872, 8647120, 8562280, 7460900, 7460900, 6984380, 6336900, 6309180, 6277412, 1440692, 2419292, 5099744, 5019524, 4033364, 4017404, 4311824, 2048024, 1802056, 1267760, 2976676, 4169476, 3364668, 5888252, 6022956, 5975304, 6883444, 6633964, 6141724, 6633964, 2483524, 2372336, 2364776, 2542856, 2348468, 5329168, 5328748, 5166968, 6883920, 6857040, 6666432, 5789232, 6173532, 6175212, 5968720, 2825440, 1918000, 4225820, 2875940, 3582800, 3582800, 3490400, 2753816, 2166108, 2712108, 3497564, 1847804
Sylramic Fibers[Hexite], 2111248, 2117968, 2117968, 2024920, 1361576, 1078720, 1237700, 1971860, 2183780, 2041260, 1549720, 1274280, 1136136, 1593032, 1668772, 2273184, 2282004, 2351048, 2328020, 3720304, 3720304, 3716384, 3418744, 2885872, 2570640, 2529200, 2518000, 2486640, 2436624, 2302420, 2308020, 1724020, 1636860, 1636860, 1837620, 1997756, 2064764, 2037464, 1968864, 1931296, 2023152, 2056192, 1919640, 1820240, 2481000, 2481000, 3046360, 3209040, 3235920, 3279040, 3227520, 2881312, 2874592, 2812292, 2197248, 2441968, 2502900, 2276156, 2340136, 2672160, 3067080, 3037960, 3067500, 3341620, 3563324, 3565844, 3648724, 3648724
Photonic Metamaterials[Crystallite Alloy/Thulium Hafnite], 4054860, 4225590, 4228320, 4545615, 4587510, 4412070, 4415115, 4424775, 4015905, 3984870, 3730350, 1885185, 1772310, 1850850, 1850850, 2036175, 1833735, 1285590, 1372635, 1323165, 1233810, 1144560, 992835, 739395, 84405, 787485, 904560, 1108785, 1116135, 756315, 170730, 741540, 968760, 950490, 929025, 1250535, 1492755, 2191005, 2107215, 1772175, 1590315, 1639035, 1633365, 2608965, 3517425, 3514905, 3790635, 3851325, 3489390, 3534540, 4288695, 4524855, 4446735, 4556670, 3539490, 3354510, 3302955, 2575725, 2575725, 2345055, 2468490, 2554380, 2512065, 2547975, 2289675, 3014475, 3092595, 3064245
Fullerides[Platinum Technite], 3540356, 4066756, 4066756, 4066756, 3698220, 3562140, 3589720, 4317720, 4002632, 4002632, 3087172, 2866440, 2667640, 2957240, 3027660, 3323480, 3333140, 2960608, 2995468, 2867264, 2796940, 2768588, 2573992, 2483036, 2497756, 2578396, 2721196, 3037316, 2828992, 3442332, 3198976, 3415696, 3471460, 3471460, 3319660, 2547940, 2724132, 2776072, 2839072, 2839072, 2737108, 2737108, 1968620, 2286240, 2302760, 2298000, 2387440, 2394160, 2360280, 2360280, 2542956, 3096544, 3081424, 3116284, 2516260, 1898792, 2341008, 2138568, 1956988, 2064508, 2064508, 1742496, 1925244, 2000844, 2390604, 2718628, 2714708, 2711348
Crystalline Carbonide[Crystallite Alloy], 1356233, 1583873, 1775233, 2001753, 1990413, 1699213, 1699213, 1684387, 1347813, 1476193, 1510920, 1295067, 1213867, 1541187, 1541187, 2171413, 2404653, 2246873, 2281073, 2532580, 2343300, 2237180, 2581440, 2200373, 1769560, 1248333, 1367333, 1605753, 1417000, 1433800, 1451720, 1724667, 2101827, 2101827, 1798200, 1776360, 1580107, 1713780, 1915940, 1858820, 1824660, 1878420, 1849300, 2035647, 1774433, 1770513, 1911633, 1913313, 1714493, 1773013, 2316807, 2312607, 2299167, 2488587, 2310493, 2136053, 1981240, 1927933, 1778693, 2241000, 2464880, 2560640, 2923360, 2970120, 2970120, 2973060, 2616047, 2574887
Nanotransistors[Neo Mercurite/Platinum Technite], 1522185, 1952055, 3214785, 3141165, 3147570, 3102630, 3123315, 3130125, 2170815, 2321250, 1770840, 1678800, 1251375, 1323687, 1376502, 2221857, 2290842, 2351997, 2370288, 1813305, 1795725, 2885340, 2180475, 1612425, 1971123, 1022958, 1739508, 2537835, 2513580, 2512095, 2571450, 2819955, 2909415, 2909415, 3114840, 3339645, 3420540, 3007485, 3581835, 3562935, 3878280, 4134930, 5225370, 5987250, 6009930, 6007200, 5961780, 5842080, 4983255, 4968480, 5116980, 4778040, 3997665, 4163565, 3721860, 3488970, 2116770, 2056920, 483957, 1193577, 1105167, 1100757, 2057622, 2114154, 2179044, 2017710, 1067235, 1067235
Titanium Chromide, 2805500, 2825660, 3172220, 3220100, 6223620, 6369480, 7401600, 7530960, 7323480, 7419240, 6754580, 2189500, 1861900, 2878720, 2763200, 2567020, 2567020, 2386420, 4418220, 4401420, 7231660, 7231660, 6621820, 6153940, 4101360, 3972840, 3974520, 3974940, 898124, 933404, 687704, 768280, 549316, 549316, 642660, 1390124, 1663700, 1368768, 135040, 160960, 160960, 352480, 1523564, 1891484, 2618924, 2615144, 2877224, 3359804, 3357704, 1334660, 2777216, 2663816, 3497900, 2996000, 2418920, 2131640, 2119720, 1892080, 1767760, 5246280, 5247540, 5247540, 5247540, 5124060, 5176140, 5181180, 5192520, 5192520
